value_rank,player,team,pos,age,salary_millions,vorp,ws,bpm,vorp_per_million,position_avg_vorp,vorp_above_position,position_adj_value,expected_salary_millions,overpay_millions,value_tier,pts_per_game,mp_per_game,g
107,LeBron James,LAL,SF,41.0,52.63,2.8,5.4,3.5,0.0532,0.8842857142857142,1.916,0.0364,25.49,27.14,Overpaid,20.9,33.2,60
108,Jarrett Allen,CLE,C,27.0,20.0,1.8,6.4,2.6,0.09,1.0864864864864865,0.714,0.0357,19.22,0.78,Good Value,15.4,27.1,56
109,Bam Adebayo,MIA,C,28.0,37.1,2.4,6.4,2.0,0.0647,1.0864864864864865,1.314,0.0354,22.98,14.12,Poor Value,20.1,32.4,73
110,Devin Booker,PHO,SG,29.0,53.14,2.3,6.5,2.2,0.0433,0.4457142857142857,1.854,0.0349,22.36,30.78,Overpaid,26.1,33.5,64
111,Collin Sexton,CHI,SG,27.0,18.98,1.1,3.9,0.6,0.058,0.4457142857142857,0.654,0.0345,14.84,4.14,Good Value,15.4,23.7,68
112,Onyeka Okongwu,ATL,C,25.0,15.0,1.6,6.0,0.7,0.1067,1.0864864864864865,0.514,0.0343,17.97,-2.97,Good Value,15.2,31.0,74
113,Tobias Harris,DET,PF,33.0,26.63,1.5,5.3,1.4,0.0563,0.61375,0.886,0.0333,17.34,9.29,Poor Value,13.3,27.7,63
114,Michael Porter Jr.,BRK,SF,27.0,38.33,2.1,2.9,3.0,0.0548,0.8842857142857142,1.216,0.0317,21.1,17.23,Overpaid,24.2,32.5,52
115,Devin Vassell,SAS,SG,25.0,27.0,1.3,4.9,0.5,0.0481,0.4457142857142857,0.854,0.0316,16.09,10.91,Poor Value,13.9,30.5,67
116,Alex Caruso,OKC,SG,31.0,18.1,1.0,2.5,1.9,0.0552,0.4457142857142857,0.554,0.0306,14.21,3.89,Good Value,6.2,18.2,56
116,Matisse Thybulle,POR,SG,28.0,11.55,0.8,1.3,4.4,0.0693,0.4457142857142857,0.354,0.0306,12.96,-1.41,Good Value,5.8,16.0,30
118,Sam Merrill,CLE,SG,29.0,8.48,0.7,3.7,0.1,0.0825,0.4457142857142857,0.254,0.03,12.33,-3.85,Good Value,12.8,26.5,52
119,Keldon Johnson,SAS,SF,26.0,17.5,1.4,6.4,0.9,0.08,0.8842857142857142,0.516,0.0295,16.72,0.78,Good Value,13.2,23.3,82
120,Andrew Wiggins,MIA,SF,30.0,28.22,1.7,4.6,1.2,0.0602,0.8842857142857142,0.816,0.0289,18.6,9.62,Poor Value,15.4,30.3,68
121,Santi Aldama,MEM,PF,25.0,18.49,1.1,2.3,1.7,0.0595,0.61375,0.486,0.0263,14.84,3.65,Good Value,14.0,27.9,43
122,Jimmy Butler,GSW,SF,36.0,54.13,2.3,5.7,5.5,0.0425,0.8842857142857142,1.416,0.0262,22.36,31.77,Overpaid,20.0,31.1,38
123,Stephen Curry,GSW,PG,37.0,59.61,2.5,4.1,5.4,0.0419,0.9902777777777777,1.51,0.0253,23.61,36.0,Overpaid,26.6,30.9,43
124,Isaiah Hartenstein,OKC,C,27.0,28.5,1.8,5.3,4.2,0.0632,1.0864864864864865,0.714,0.0251,19.22,9.28,Poor Value,9.2,24.2,47
125,Nikola Vučević,BOS,C,35.0,21.48,1.6,4.4,1.5,0.0745,1.0864864864864865,0.514,0.0239,17.97,3.51,Good Value,15.1,28.4,64
126,Landry Shamet,NYK,SG,28.0,2.3,0.5,2.6,-0.3,0.2174,0.4457142857142857,0.054,0.0235,11.08,-8.78,Good Value,9.3,23.0,51
127,Jabari Smith Jr.,HOU,PF,22.0,12.35,0.9,6.6,-0.7,0.0729,0.61375,0.286,0.0232,13.58,-1.23,Good Value,15.8,35.1,77
128,Jalen Suggs,ORL,PG,24.0,35.0,1.8,2.7,2.5,0.0514,0.9902777777777777,0.81,0.0231,19.22,15.78,Overpaid,13.8,27.6,57
129,Moses Moody,GSW,SG,23.0,11.57,0.7,3.1,-0.1,0.0605,0.4457142857142857,0.254,0.022,12.33,-0.76,Good Value,12.1,25.7,60
130,Brandon Ingram,TOR,SF,28.0,38.1,1.7,4.6,0.5,0.0446,0.8842857142857142,0.816,0.0214,18.6,19.5,Overpaid,21.5,33.8,77
131,Lauri Markkanen,UTA,PF,28.0,46.39,1.6,3.5,2.6,0.0345,0.61375,0.986,0.0213,17.97,28.42,Overpaid,26.7,34.4,42
132,Tyler Herro,MIA,SG,26.0,31.0,1.1,2.4,2.0,0.0355,0.4457142857142857,0.654,0.0211,14.84,16.16,Overpaid,20.5,31.3,33
133,Rudy Gobert,MIN,C,33.0,35.0,1.8,8.7,1.0,0.0514,1.0864864864864865,0.714,0.0204,19.22,15.78,Overpaid,10.9,31.3,76
134,Harrison Barnes,SAS,PF,33.0,19.0,1.0,4.8,-0.1,0.0526,0.61375,0.386,0.0203,14.21,4.79,Good Value,9.9,25.8,77
135,DeMar DeRozan,SAC,PF,36.0,24.57,1.1,5.6,-0.1,0.0448,0.61375,0.486,0.0198,14.84,9.73,Poor Value,18.4,31.2,77
136,Naz Reid,MIN,C,26.0,21.55,1.5,4.0,0.9,0.0696,1.0864864864864865,0.414,0.0192,17.34,4.21,Good Value,13.6,26.1,77
137,Jrue Holiday,POR,PG,35.0,32.4,1.6,3.6,1.9,0.0494,0.9902777777777777,0.61,0.0188,17.97,14.43,Poor Value,16.3,29.4,53
138,Joel Embiid,PHI,C,31.0,55.22,2.1,4.1,4.9,0.038,1.0864864864864865,1.014,0.0184,21.1,34.12,Overpaid,26.9,31.6,38
139,Pascal Siakam,IND,PF,31.0,45.55,1.4,2.6,0.7,0.0307,0.61375,0.786,0.0173,16.72,28.83,Overpaid,24.0,33.2,62
140,Jaden McDaniels,MIN,PF,25.0,24.39,1.0,5.2,-0.3,0.041,0.61375,0.386,0.0158,14.21,10.18,Poor Value,14.8,31.7,73
141,Bobby Portis,MIL,PF,30.0,13.45,0.8,2.8,0.0,0.0595,0.61375,0.186,0.0138,12.96,0.49,Good Value,13.7,24.2,67
142,Goga Bitadze,ORL,C,26.0,8.33,1.2,4.4,2.8,0.1441,1.0864864864864865,0.114,0.0137,15.46,-7.13,Good Value,5.9,15.2,64
143,Dean Wade,CLE,PF,29.0,6.62,0.7,3.1,0.2,0.1057,0.61375,0.086,0.013,12.33,-5.71,Good Value,5.8,22.3,59
144,Aaron Gordon,DEN,PF,30.0,22.84,0.9,3.2,1.7,0.0394,0.61375,0.286,0.0125,13.58,9.26,Poor Value,16.2,27.9,36
145,Nic Claxton,BRK,C,26.0,25.35,1.4,4.8,0.9,0.0552,1.0864864864864865,0.314,0.0124,16.72,8.63,Poor Value,11.7,27.8,69
146,T.J. McConnell,IND,PG,33.0,10.2,1.1,2.6,2.5,0.1078,0.9902777777777777,0.11,0.0108,14.84,-4.64,Good Value,9.4,17.2,56
147,Paul George,PHI,PF,35.0,51.67,1.1,2.5,1.7,0.0213,0.61375,0.486,0.0094,14.84,36.83,Overpaid,17.3,30.7,37
148,Anfernee Simons,CHI,SG,26.0,27.68,0.7,2.9,-0.1,0.0253,0.4457142857142857,0.254,0.0092,12.33,15.35,Overpaid,14.3,24.9,55
149,Jerami Grant,POR,PF,31.0,32.0,0.9,4.0,0.0,0.0281,0.61375,0.286,0.0089,13.58,18.42,Overpaid,18.6,29.7,57
150,Franz Wagner,ORL,SF,24.0,38.66,1.2,2.8,2.5,0.031,0.8842857142857142,0.316,0.0082,15.46,23.2,Overpaid,20.6,30.0,34
151,Grant Williams,CHO,PF,27.0,13.65,0.7,1.9,1.6,0.0513,0.61375,0.086,0.0063,12.33,1.32,Good Value,7.0,19.8,36
152,Jay Huff,IND,C,27.0,2.35,1.1,3.2,0.4,0.4681,1.0864864864864865,0.014,0.006,14.84,-12.49,Elite Value,9.5,21.0,82
153,Jayson Tatum,BOS,PF,27.0,54.13,0.9,1.6,4.8,0.0166,0.61375,0.286,0.0053,13.58,40.55,Overpaid,21.8,32.6,16
154,RJ Barrett,TOR,SF,25.0,27.71,1.0,4.0,0.2,0.0361,0.8842857142857142,0.116,0.0042,14.21,13.5,Poor Value,19.3,30.3,57
155,Caris LeVert,DET,SG,31.0,14.1,0.5,1.6,-0.4,0.0355,0.4457142857142857,0.054,0.0038,11.08,3.02,Good Value,7.4,19.2,60
156,John Collins,LAC,PF,28.0,26.58,0.7,4.6,-0.5,0.0263,0.61375,0.086,0.0032,12.33,14.25,Poor Value,13.6,27.1,69
157,Anthony Davis,DAL,PF,32.0,54.13,0.7,1.3,2.4,0.0129,0.61375,0.086,0.0016,12.33,41.8,Overpaid,20.4,31.3,20
158,CJ McCollum,ATL,PG,34.0,30.67,1.0,3.0,-0.3,0.0326,0.9902777777777777,0.01,0.0003,14.21,16.46,Overpaid,18.7,29.8,76
159,Jakob Poeltl,TOR,C,30.0,19.5,1.0,4.3,1.6,0.0513,1.0864864864864865,-0.086,-0.0044,14.21,5.29,Poor Value,10.7,25.0,46
160,Aaron Wiggins,OKC,SG,27.0,10.1,0.4,2.1,-0.9,0.0396,0.4457142857142857,-0.046,-0.0046,10.45,-0.35,Fair,9.4,21.8,65
161,Zach LaVine,SAC,SG,30.0,47.5,0.2,1.3,-1.5,0.0042,0.4457142857142857,-0.246,-0.0052,9.2,38.3,Overpaid,19.2,31.4,39
162,Karlo Matković,NOP,PF,24.0,1.96,0.6,2.7,0.7,0.3061,0.61375,-0.014,-0.0071,11.71,-9.75,Fair,5.7,14.7,62
