season,team_abbr,wins,total_vorp,top_player_vorp,vorp_concentration,avg_age,avg_bpm
2001,SEA,41.8,10.9,5.1,0.4679,28.07,0.1837
2001,TOR,47.4,12.0,6.8,0.5667,30.05,0.4115
2001,UTA,53.8,16.7,5.8,0.3473,29.86,1.336
2001,VAN,26.7,3.4,3.5,1.0294,28.4,-1.3105
2001,WAS,24.6,1.3,1.3,1.0,27.38,-1.7451
2002,ATL,31.8,4.2,3.9,0.9286,26.67,-1.1998
2002,BOS,48.1,12.3,5.7,0.4634,25.94,0.4538
2002,CHH,44.9,10.8,5.2,0.4815,28.27,0.1591
2002,CHI,19.4,-1.5,1.6,1.6,25.28,-2.2818
2002,CLE,34.6,5.1,4.1,0.8039,25.87,-0.9574
2002,DAL,53.9,15.7,4.8,0.3057,28.05,1.1503
2002,DEN,25.8,3.3,2.0,0.6061,27.67,-1.3575
2002,DET,47.9,12.2,5.9,0.4836,28.13,0.4311
2002,GSW,27.8,3.7,1.4,0.3784,26.13,-1.2236
2002,HOU,29.0,4.0,2.9,0.725,26.43,-1.1876
2002,IND,42.2,10.2,3.6,0.3529,25.0,0.013
2002,LAC,40.4,9.9,6.2,0.6263,25.69,0.0063
2002,LAL,60.1,19.3,5.5,0.285,27.6,1.8689
2002,MEM,21.2,1.0,3.2,3.2,26.65,-1.7684
2002,MIA,38.2,7.2,4.9,0.6806,28.18,-0.5358
2002,MIL,41.9,9.2,4.0,0.4348,28.64,-0.1635
2002,MIN,51.6,14.9,7.0,0.4698,27.62,0.9681
2002,NJN,51.7,14.7,5.4,0.3673,26.12,0.9437
2002,NYK,30.3,4.5,1.4,0.3111,29.86,-1.0986
2002,ORL,45.9,11.4,5.9,0.5175,28.71,0.3073
2002,PHI,47.7,11.5,3.9,0.3391,27.21,0.2993
2002,PHO,40.0,9.6,3.6,0.375,26.63,-0.0418
2002,POR,51.1,14.1,3.4,0.2411,28.73,0.8575
2002,SAC,60.1,19.9,4.3,0.2161,27.07,1.9361
2002,SAS,58.9,18.4,8.1,0.4402,28.87,1.6852
2002,SEA,50.5,14.4,6.0,0.4167,26.0,0.8855
2002,TOR,40.5,8.8,3.7,0.4205,28.24,-0.2354
2002,UTA,45.6,12.0,4.4,0.3667,28.79,0.393
2002,WAS,39.0,8.1,2.4,0.2963,26.36,-0.3928
2003,ATL,33.1,4.7,2.8,0.5957,27.38,-1.0055
2003,BOS,41.9,9.1,4.9,0.5385,28.06,-0.2025
2003,CHI,27.7,3.5,2.3,0.6571,25.13,-1.3105
2003,CLE,17.6,-2.3,1.3,1.3,24.36,-2.4592
2003,DAL,63.2,20.7,6.1,0.2947,28.76,2.0894
2003,DEN,19.5,0.2,2.6,2.6,25.29,-1.9435
2003,DET,52.7,14.2,5.1,0.3592,29.0,0.8172
2003,GSW,40.1,9.5,3.1,0.3263,25.19,-0.1215
2003,HOU,46.9,12.3,5.8,0.4715,25.6,0.4479
2003,IND,52.1,13.7,3.7,0.2701,26.0,0.7214
2003,LAC,30.3,5.5,4.1,0.7455,25.33,-0.9114
2003,LAL,48.1,13.4,7.1,0.5299,27.43,0.694
2003,MEM,32.7,6.6,3.4,0.5152,24.41,-0.7008
2003,MIA,28.6,3.0,3.0,1.0,26.43,-1.3952
2003,MIL,43.1,9.6,3.1,0.3229,27.62,-0.0597
2003,MIN,47.8,13.4,9.0,0.6716,28.0,0.6505
2003,NJN,54.9,15.6,6.7,0.4295,27.93,1.1341
2003,NOH,49.2,11.9,3.6,0.3025,28.69,0.4003
2003,NYK,36.6,8.0,1.9,0.2375,28.54,-0.3992
2003,ORL,42.2,9.5,8.7,0.9158,26.76,-0.091
2003,PHI,48.6,12.6,4.2,0.3333,28.44,0.4565
